# Reference      Predicted      Error          
-0.00197        -0.00164        0.00032        
0.00381         0.00462         0.00081        
0.00493         0.00580         0.00087        
-0.02280        -0.02318        0.00038        
-0.00330        -0.00341        0.00011        
0.00072         0.00012         0.00060        
0.02538         0.02417         0.00121        
-0.00198        -0.00322        0.00125        
0.00035         -0.00109        0.00144        
0.00108         0.00163         0.00054        
0.00055         0.00052         0.00003        
0.00859         0.00980         0.00121        
0.00289         0.00324         0.00036        
-0.00177        -0.00145        0.00032        
-0.00971        -0.00914        0.00057        
-0.00899        -0.00754        0.00145        
-0.00247        -0.00338        0.00091        
0.00515         0.00624         0.00109        
0.00631         0.00668         0.00037        
-0.04350        -0.04176        0.00174        
-0.00394        -0.00438        0.00044        
0.00109         0.00039         0.00070        
0.04634         0.04776         0.00142        
-0.00225        -0.00277        0.00052        
0.00034         -0.00108        0.00142        
0.00142         0.00184         0.00042        
0.00049         0.00091         0.00042        
0.01300         0.01130         0.00170        
0.00387         0.00466         0.00079        
-0.00256        -0.00211        0.00045        
-0.01432        -0.01573        0.00141        
-0.01116        -0.00986        0.00130        
-0.00290        -0.00336        0.00046        
0.00655         0.00713         0.00057        
0.00751         0.00704         0.00047        
-0.07687        -0.07640        0.00047        
-0.00453        -0.00489        0.00037        
0.00150         0.00096         0.00055        
0.07989         0.08128         0.00138        
-0.00246        -0.00224        0.00022        
0.00028         -0.00133        0.00161        
0.00180         0.00015         0.00165        
0.00038         0.00062         0.00024        
0.01885         0.01705         0.00180        
0.00498         0.00545         0.00048        
-0.00349        -0.00337        0.00012        
-0.02033        -0.01987        0.00046        
-0.01327        -0.01217        0.00110        
-0.00325        -0.00056        0.00269        
0.00803         0.00808         0.00005        
0.00849         0.00726         0.00124        
0.00000         0.00074         0.00074        
0.00000         -0.00051        0.00051        
0.00000         -0.00089        0.00089        
0.00000         0.00111         0.00111        
0.00000         0.00074         0.00074        
0.00000         -0.00051        0.00051        
0.00000         -0.00089        0.00089        
0.00000         0.00111         0.00111        
0.00000         -0.00074        0.00074        
0.00000         0.00051         0.00051        
0.00000         0.00089         0.00089        
0.00000         -0.00111        0.00111        
0.00000         -0.00074        0.00074        
0.00000         0.00051         0.00051        
0.00000         0.00089         0.00089        
0.00000         -0.00111        0.00111        
-0.00068        0.00059         0.00127        
-0.00095        -0.00192        0.00097        
0.00000         -0.00125        0.00126        
0.00163         0.00320         0.00158        
-0.00051        0.00006         0.00057        
0.00014         -0.00059        0.00073        
0.00024         -0.00019        0.00043        
0.00013         0.00105         0.00091        
0.00070         -0.00045        0.00115        
0.00059         0.00146         0.00087        
-0.00024        0.00106         0.00130        
-0.00105        -0.00270        0.00165        
-0.00151        -0.00237        0.00086        
-0.00073        -0.00039        0.00034        
0.00124         0.00228         0.00104        
0.00100         0.00016         0.00085        
-0.00258        -0.00254        0.00004        
-0.00181        -0.00197        0.00015        
0.00015         -0.00052        0.00067        
0.00424         0.00505         0.00081        
-0.00093        -0.00052        0.00041        
0.00024         -0.00035        0.00060        
0.00050         -0.00011        0.00061        
0.00019         0.00128         0.00109        
0.00175         0.00135         0.00041        
0.00126         0.00135         0.00010        
-0.00061        0.00005         0.00066        
-0.00240        -0.00281        0.00041        
-0.00303        -0.00400        0.00097        
-0.00139        -0.00059        0.00080        
0.00251         0.00295         0.00044        
0.00191         0.00138         0.00053        
-0.00652        -0.00772        0.00120        
-0.00259        -0.00272        0.00013        
0.00040         0.00058         0.00019        
0.00871         0.00837         0.00034        
-0.00128        -0.00103        0.00025        
0.00032         0.00027         0.00005        
0.00078         -0.00029        0.00107        
0.00019         0.00127         0.00108        
0.00325         0.00431         0.00106        
0.00202         0.00209         0.00007        
-0.00112        -0.00143        0.00031        
-0.00414        -0.00357        0.00057        
-0.00454        -0.00568        0.00115        
-0.00197        -0.00108        0.00089        
0.00381         0.00410         0.00029        
0.00270         0.00253         0.00016        
-0.01390        -0.01421        0.00031        
-0.00330        -0.00307        0.00023        
0.00072         0.00138         0.00066        
0.01648         0.01684         0.00036        
-0.00157        -0.00155        0.00002        
0.00035         0.00099         0.00064        
0.00108         0.00032         0.00076        
0.00014         0.00147         0.00133        
0.00530         0.00586         0.00056        
0.00289         0.00275         0.00014        
-0.00177        -0.00232        0.00055        
-0.00642        -0.00733        0.00091        
-0.00603        -0.00744        0.00142        
-0.00247        -0.00257        0.00010        
0.00515         0.00531         0.00015        
0.00335         0.00358         0.00023        
-0.02706        -0.02733        0.00026        
-0.00394        -0.00417        0.00023        
0.00109         0.00173         0.00063        
0.02991         0.03065         0.00074        
-0.00180        -0.00209        0.00029        
0.00034         0.00107         0.00073        
0.00142         0.00147         0.00005        
0.00004         0.00165         0.00161        
0.00806         0.00822         0.00016        
0.00387         0.00419         0.00032        
-0.00256        -0.00296        0.00040        
-0.00937        -0.01042        0.00105        
-0.00749        -0.00912        0.00163        
-0.00290        -0.00379        0.00090        
0.00655         0.00644         0.00012        
0.00383         0.00447         0.00064        
-0.04952        -0.05046        0.00094        
-0.00453        -0.00480        0.00027        
0.00150         0.00183         0.00033        
0.05254         0.05358         0.00104        
-0.00199        -0.00264        0.00065        
0.00028         0.00023         0.00005        
0.00180         0.00270         0.00091        
-0.00009        0.00117         0.00126        
0.01173         0.01193         0.00020        
0.00498         0.00514         0.00016        
-0.00349        -0.00439        0.00090        
-0.01321        -0.01275        0.00046        
-0.00892        -0.01058        0.00167        
-0.00325        -0.00425        0.00100        
0.00803         0.00810         0.00007        
0.00413         0.00519         0.00105        
0.00000         -0.00106        0.00106        
0.00000         0.00054         0.00054        
0.00000         -0.00002        0.00002        
0.00000         -0.00051        0.00051        
0.00000         -0.00106        0.00106        
0.00000         0.00054         0.00054        
0.00000         -0.00002        0.00002        
0.00000         -0.00051        0.00051        
0.00000         0.00106         0.00106        
0.00000         -0.00054        0.00054        
0.00000         0.00002         0.00002        
0.00000         0.00051         0.00051        
0.00000         0.00106         0.00106        
0.00000         -0.00054        0.00054        
0.00000         0.00002         0.00002        
0.00000         0.00051         0.00051        
-0.00026        -0.00123        0.00097        
-0.00095        -0.00061        0.00034        
0.00000         0.00044         0.00044        
0.00121         0.00057         0.00064        
-0.00041        -0.00131        0.00090        
0.00014         0.00062         0.00048        
0.00024         -0.00002        0.00026        
0.00003         -0.00052        0.00055        
0.00039         0.00150         0.00111        
0.00059         0.00012         0.00047        
-0.00024        -0.00061        0.00037        
-0.00074        -0.00019        0.00056        
-0.00103        0.00007         0.00110        
-0.00073        -0.00063        0.00010        
0.00124         0.00099         0.00025        
0.00052         0.00079         0.00027        
-0.00134        -0.00142        0.00008        
-0.00181        -0.00140        0.00041        
0.00015         0.00068         0.00053        
0.00300         0.00252         0.00049        
-0.00076        -0.00145        0.00070        
0.00024         0.00024         0.00001        
0.00050         0.00053         0.00003        
0.00002         -0.00023        0.00025        
0.00102         0.00150         0.00048        
0.00126         0.00079         0.00046        
-0.00061        -0.00093        0.00032        
-0.00166        -0.00176        0.00010        
-0.00206        -0.00090        0.00116        
-0.00139        -0.00097        0.00041        
0.00251         0.00182         0.00069        
0.00094         0.00101         0.00007        
-0.00374        -0.00287        0.00087        
-0.00259        -0.00275        0.00015        
0.00040         0.00074         0.00034        
0.00593         0.00643         0.00049        
-0.00105        -0.00151        0.00046        
0.00032         -0.00016        0.00047        
0.00078         0.00122         0.00044        
-0.00004        -0.00039        0.00035        
0.00193         0.00139         0.00054        
0.00202         0.00222         0.00020        
-0.00112        -0.00146        0.00034        
-0.00283        -0.00373        0.00089        
-0.00309        -0.00181        0.00128        
-0.00197        -0.00178        0.00018        
0.00381         0.00333         0.00048        
0.00125         0.00113         0.00012        
-0.00832        -0.00648        0.00184        
-0.00330        -0.00343        0.00013        
0.00072         0.00099         0.00027        
0.01090         0.01254         0.00164        
-0.00130        -0.00159        0.00030        
0.00035         -0.00018        0.00053        
0.00108         0.00084         0.00025        
-0.00014        -0.00051        0.00037        
0.00321         0.00167         0.00154        
0.00289         0.00324         0.00035        
-0.00177        -0.00227        0.00050        
-0.00433        -0.00627        0.00194        
-0.00410        -0.00268        0.00143        
-0.00247        -0.00174        0.00073        
0.00515         0.00473         0.00042        
0.00142         0.00114         0.00028        
-0.01655        -0.01429        0.00226        
-0.00394        -0.00439        0.00044        
0.00109         0.00152         0.00042        
0.01940         0.02148         0.00208        
-0.00150        -0.00179        0.00029        
0.00034         -0.00004        0.00038        
0.00142         0.00028         0.00114        
-0.00026        -0.00058        0.00032        
0.00494         0.00254         0.00240        
0.00387         0.00452         0.00065        
-0.00256        -0.00302        0.00046        
-0.00626        -0.00842        0.00217        
-0.00510        -0.00355        0.00155        
-0.00290        -0.00130        0.00160        
0.00655         0.00595         0.00060        
0.00145         0.00108         0.00036        
-0.03082        -0.03049        0.00033        
-0.00453        -0.00491        0.00038        
0.00150         0.00184         0.00034        
0.03384         0.03561         0.00176        
-0.00167        -0.00209        0.00042        
0.00028         -0.00004        0.00032        
0.00180         0.00069         0.00111        
-0.00041        -0.00122        0.00081        
0.00725         0.00560         0.00165        
0.00498         0.00522         0.00025        
-0.00349        -0.00422        0.00072        
-0.00873        -0.00870        0.00004        
-0.00608        -0.00441        0.00168        
-0.00325        -0.00147        0.00178        
0.00803         0.00762         0.00041        
0.00130         0.00096         0.00034        
0.00000         -0.00038        0.00038        
0.00000         -0.00012        0.00012        
0.00000         -0.00009        0.00009        
0.00000         -0.00040        0.00040        
0.00000         -0.00038        0.00038        
0.00000         -0.00012        0.00012        
0.00000         -0.00009        0.00009        
0.00000         -0.00040        0.00040        
0.00000         0.00038         0.00038        
0.00000         0.00012         0.00012        
0.00000         0.00009         0.00009        
0.00000         0.00040         0.00040        
0.00000         0.00038         0.00038        
0.00000         0.00012         0.00012        
0.00000         0.00009         0.00009        
0.00000         0.00040         0.00040        
0.00001         -0.00020        0.00020        
-0.00095        -0.00143        0.00048        
0.00000         -0.00014        0.00014        
0.00094         0.00062         0.00032        
-0.00034        -0.00056        0.00022        
0.00014         -0.00001        0.00014        
0.00024         0.00050         0.00026        
-0.00003        -0.00059        0.00056        
0.00019         0.00051         0.00032        
0.00059         0.00096         0.00037        
-0.00024        -0.00004        0.00019        
-0.00054        -0.00027        0.00027        
-0.00071        -0.00040        0.00031        
-0.00073        -0.00093        0.00020        
0.00124         0.00148         0.00024        
0.00020         0.00050         0.00030        
-0.00055        -0.00045        0.00010        
-0.00181        -0.00182        0.00001        
0.00015         0.00030         0.00015        
0.00221         0.00213         0.00009        
