# Reference      Predicted      Error          
1.03831         -0.17940        1.21771        
1.03831         -0.17939        1.21771        
-1.03831        0.17940         1.21771        
-1.03831        0.17939         1.21771        
-1.03831        0.17939         1.21770        
0.88156         -0.36457        1.24614        
0.88156         -0.36469        1.24625        
0.88156         -0.36458        1.24614        
-0.88156        0.36457         1.24614        
-0.88156        0.36469         1.24625        
-0.88156        0.36457         1.24614        
2.89676         2.00215         0.89461        
2.89676         2.00213         0.89463        
2.89676         2.00213         0.89464        
-2.89676        -2.00213        0.89463        
-2.89676        -2.00215        0.89462        
-2.89676        -2.00214        0.89463        
2.58254         1.60712         0.97542        
2.58254         1.60712         0.97542        
2.58254         1.60711         0.97543        
-2.58254        -1.60711        0.97543        
-2.58254        -1.60712        0.97542        
-2.58254        -1.60712        0.97542        
-0.04880        -1.36280        1.31400        
-0.04880        -1.36280        1.31400        
-0.04880        -1.36280        1.31400        
0.04880         1.36280         1.31400        
0.04880         1.36280         1.31400        
0.04880         1.36280         1.31400        
2.07558         1.00245         1.07314        
2.07558         1.00246         1.07313        
2.07558         1.00246         1.07312        
-2.07558        -1.00246        1.07312        
-2.07558        -1.00245        1.07313        
-2.07558        -1.00245        1.07313        
0.54017         -0.74543        1.28560        
0.54017         -0.74542        1.28559        
0.54017         -0.74560        1.28577        
-0.54017        0.74542         1.28559        
-0.54017        0.74544         1.28561        
-0.54017        0.74558         1.28575        
-1.89347        -3.30960        1.41613        
-1.89347        -3.30942        1.41595        
-1.89347        -3.30985        1.41638        
1.89347         3.30958         1.41611        
1.89347         3.30941         1.41594        
1.89347         3.30987         1.41640        
-0.75156        -2.13695        1.38539        
-0.75156        -2.13710        1.38554        
-0.75156        -2.13695        1.38539        
0.75156         2.13695         1.38539        
0.75156         2.13711         1.38555        
0.75156         2.13695         1.38539        
0.00442         0.00494         0.00052        
0.00442         0.00494         0.00051        
0.00442         0.00469         0.00027        
0.00442         0.00474         0.00032        
0.00442         0.00475         0.00032        
0.00442         0.00488         0.00046        
0.00442         0.00488         0.00046        
0.00442         0.00488         0.00046        
0.00442         0.00475         0.00033        
-0.00442        -0.00488        0.00045        
-0.00442        -0.00488        0.00046        
-0.00442        -0.00475        0.00033        
-0.00442        -0.00475        0.00032        
-0.00442        -0.00474        0.00031        
-0.00442        -0.00488        0.00046        
-0.00442        -0.00494        0.00052        
-0.00442        -0.00493        0.00051        
-0.00442        -0.00469        0.00027        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
0.00161         0.00322         0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
-0.00161        -0.00322        0.00161        
0.00765         0.00893         0.00127        
0.00765         0.00891         0.00126        
0.00765         0.00891         0.00126        
0.00765         0.00893         0.00127        
0.00765         0.00891         0.00126        
0.00765         0.00891         0.00126        
0.00765         0.00893         0.00127        
0.00765         0.00891         0.00126        
0.00765         0.00891         0.00126        
-0.00765        -0.00892        0.00127        
-0.00765        -0.00892        0.00126        
-0.00765        -0.00891        0.00126        
-0.00765        -0.00892        0.00127        
-0.00765        -0.00892        0.00126        
-0.00765        -0.00891        0.00126        
-0.00765        -0.00892        0.00127        
-0.00765        -0.00892        0.00126        
-0.00765        -0.00891        0.00126        
0.00871         0.00951         0.00080        
0.00871         0.00951         0.00080        
0.00871         0.01004         0.00133        
0.00871         0.00991         0.00120        
0.00871         0.00992         0.00121        
0.00871         0.00963         0.00091        
0.00871         0.00964         0.00093        
0.00871         0.00964         0.00093        
0.00871         0.00991         0.00120        
-0.00871        -0.00963        0.00092        
-0.00871        -0.00963        0.00092        
-0.00871        -0.00992        0.00121        
-0.00871        -0.00993        0.00122        
-0.00871        -0.00993        0.00121        
-0.00871        -0.00962        0.00091        
-0.00871        -0.00949        0.00078        
-0.00871        -0.00951        0.00080        
-0.00871        -0.01005        0.00134        
0.00147         0.00318         0.00171        
0.00147         0.00317         0.00170        
0.00147         0.00318         0.00171        
0.00147         0.00318         0.00171        
0.00147         0.00317         0.00170        
0.00147         0.00318         0.00171        
0.00147         0.00318         0.00171        
0.00147         0.00317         0.00170        
0.00147         0.00318         0.00171        
-0.00147        -0.00317        0.00170        
-0.00147        -0.00318        0.00172        
-0.00147        -0.00317        0.00170        
-0.00147        -0.00317        0.00170        
-0.00147        -0.00318        0.00172        
-0.00147        -0.00317        0.00170        
-0.00147        -0.00317        0.00170        
-0.00147        -0.00318        0.00172        
-0.00147        -0.00317        0.00170        
0.00101         0.00103         0.00003        
0.00101         0.00105         0.00004        
0.00101         0.00104         0.00003        
0.00101         0.00103         0.00003        
0.00101         0.00105         0.00004        
0.00101         0.00104         0.00003        
0.00101         0.00103         0.00003        
0.00101         0.00105         0.00004        
0.00101         0.00104         0.00003        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00004        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00004        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00003        
-0.00101        -0.00104        0.00004        
0.00024         -0.00038        0.00062        
0.00024         -0.00038        0.00062        
0.00024         -0.00039        0.00063        
0.00024         -0.00040        0.00064        
0.00024         -0.00039        0.00063        
0.00024         -0.00038        0.00062        
0.00024         -0.00038        0.00062        
0.00024         -0.00038        0.00062        
0.00024         -0.00039        0.00063        
-0.00024        0.00039         0.00063        
-0.00024        0.00038         0.00062        
-0.00024        0.00038         0.00062        
-0.00024        0.00038         0.00062        
-0.00024        0.00039         0.00063        
-0.00024        0.00039         0.00062        
-0.00024        0.00039         0.00063        
-0.00024        0.00039         0.00063        
-0.00024        0.00037         0.00061        
0.00244         0.00314         0.00070        
0.00244         0.00313         0.00069        
0.00244         0.00299         0.00055        
0.00244         0.00301         0.00057        
0.00244         0.00301         0.00058        
0.00244         0.00310         0.00067        
0.00244         0.00310         0.00066        
0.00244         0.00309         0.00066        
0.00244         0.00302         0.00058        
-0.00244        -0.00309        0.00065        
-0.00244        -0.00311        0.00067        
-0.00244        -0.00302        0.00058        
-0.00244        -0.00301        0.00057        
-0.00244        -0.00301        0.00057        
-0.00244        -0.00310        0.00066        
-0.00244        -0.00314        0.00070        
-0.00244        -0.00314        0.00070        
-0.00244        -0.00298        0.00054        
-0.00009        -0.00042        0.00033        
-0.00009        -0.00041        0.00032        
-0.00009        -0.00041        0.00032        
-0.00009        -0.00040        0.00031        
-0.00009        -0.00043        0.00034        
-0.00009        -0.00043        0.00034        
-0.00009        -0.00042        0.00033        
-0.00009        -0.00042        0.00033        
-0.00009        -0.00040        0.00031        
0.00009         0.00042         0.00033        
0.00009         0.00042         0.00033        
0.00009         0.00041         0.00032        
0.00009         0.00042         0.00033        
0.00009         0.00041         0.00032        
0.00009         0.00042         0.00033        
0.00009         0.00041         0.00032        
0.00009         0.00042         0.00033        
0.00009         0.00041         0.00032        
0.00159         0.00328         0.00168        
0.00159         0.00327         0.00168        
0.00159         0.00312         0.00153        
0.00159         0.00314         0.00155        
0.00159         0.00316         0.00156        
0.00159         0.00324         0.00165        
0.00159         0.00324         0.00165        
0.00159         0.00324         0.00165        
0.00159         0.00316         0.00156        
-0.00159        -0.00323        0.00164        
-0.00159        -0.00324        0.00165        
-0.00159        -0.00316        0.00157        
-0.00159        -0.00316        0.00156        
-0.00159        -0.00314        0.00155        
-0.00159        -0.00324        0.00165        
-0.00159        -0.00328        0.00168        
-0.00159        -0.00327        0.00167        
-0.00159        -0.00313        0.00153        
0.01037         0.00930         0.00107        
0.01037         0.00928         0.00109        
0.01037         0.00931         0.00106        
0.01037         0.00917         0.00120        
0.01037         0.00943         0.00094        
0.01037         0.00943         0.00094        
0.01037         0.00943         0.00094        
0.01037         0.00915         0.00122        
0.01037         0.00917         0.00120        
-0.01037        -0.00915        0.00122        
-0.01037        -0.00945        0.00092        
-0.01037        -0.00946        0.00091        
-0.01037        -0.00947        0.00090        
-0.01037        -0.00912        0.00125        
-0.01037        -0.00911        0.00126        
-0.01037        -0.00928        0.00109        
-0.01037        -0.00931        0.00106        
-0.01037        -0.00932        0.00105        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
0.00055         -0.00037        0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
-0.00055        0.00037         0.00092        
0.00015         -0.00038        0.00054        
0.00015         -0.00039        0.00055        
0.00015         -0.00038        0.00054        
0.00015         -0.00038        0.00054        
0.00015         -0.00039        0.00055        
0.00015         -0.00038        0.00054        
0.00015         -0.00038        0.00054        
0.00015         -0.00039        0.00055        
0.00015         -0.00038        0.00054        
-0.00015        0.00038         0.00054        
-0.00015        0.00039         0.00054        
-0.00015        0.00039         0.00054        
-0.00015        0.00038         0.00054        
-0.00015        0.00039         0.00054        
-0.00015        0.00039         0.00054        
-0.00015        0.00038         0.00054        
-0.00015        0.00039         0.00054        
-0.00015        0.00039         0.00054        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
0.00309         0.00313         0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
-0.00309        -0.00313        0.00005        
0.00077         -0.00034        0.00112        
0.00077         -0.00033        0.00110        
0.00077         -0.00033        0.00111        
0.00077         -0.00032        0.00109        
0.00077         -0.00032        0.00110        
0.00077         -0.00034        0.00112        
0.00077         -0.00034        0.00112        
0.00077         -0.00033        0.00110        
0.00077         -0.00033        0.00110        
-0.00077        0.00033         0.00110        
-0.00077        0.00034         0.00111        
-0.00077        0.00033         0.00111        
-0.00077        0.00033         0.00111        
-0.00077        0.00032         0.00110        
-0.00077        0.00033         0.00111        
-0.00077        0.00033         0.00110        
-0.00077        0.00033         0.00111        
-0.00077        0.00034         0.00111        
0.00494         0.00629         0.00135        
0.00494         0.00627         0.00134        
0.00494         0.00627         0.00134        
0.00494         0.00619         0.00125        
0.00494         0.00637         0.00143        
0.00494         0.00637         0.00143        
0.00494         0.00636         0.00143        
0.00494         0.00620         0.00126        
0.00494         0.00619         0.00126        
-0.00494        -0.00620        0.00126        
-0.00494        -0.00636        0.00142        
-0.00494        -0.00637        0.00143        
-0.00494        -0.00637        0.00143        
-0.00494        -0.00618        0.00125        
-0.00494        -0.00619        0.00126        
-0.00494        -0.00627        0.00134        
-0.00494        -0.00629        0.00135        
-0.00494        -0.00628        0.00135        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
0.00992         0.00948         0.00044        
-0.00992        -0.00948        0.00044        
