# Reference      Predicted      Error          
-0.30811        -0.30422        0.00389        
-0.26172        -0.27245        0.01073        
0.26551         0.26357         0.00194        
-0.28306        -0.28731        0.00425        
-0.19123        -0.20206        0.01082        
0.29354         0.29744         0.00389        
-0.10765        -0.09491        0.01274        
0.25791         0.26078         0.00286        
0.02670         0.03493         0.00824        
-0.00697        -0.00642        0.00055        
0.04853         0.04732         0.00121        
-0.00697        -0.00642        0.00055        
0.04853         0.04732         0.00121        
0.00697         0.00642         0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
-0.04853        -0.04732        0.00121        
-0.12322        -0.12284        0.00038        
0.01810         0.01472         0.00339        
-0.08675        -0.08837        0.00162        
-0.03344        -0.03637        0.00292        
0.11234         0.11182         0.00052        
-0.01693        -0.01338        0.00355        
0.09994         0.10145         0.00151        
0.02996         0.03298         0.00302        
-0.09815        -0.09917        0.00102        
-0.06558        -0.06728        0.00170        
-0.10600        -0.10760        0.00160        
-0.08151        -0.08269        0.00118        
0.08754         0.09072         0.00318        
0.11081         0.11100         0.00020        
0.08880         0.09003         0.00123        
0.06409         0.06499         0.00090        
0.15437         0.15591         0.00154        
0.06668         0.05980         0.00688        
-0.09203        -0.09778        0.00575        
-0.15770        -0.14757        0.01013        
-0.00276        0.00055         0.00330        
0.12487         0.12497         0.00009        
0.01192         0.00676         0.00516        
-0.10536        -0.10264        0.00272        
-0.24543        -0.24879        0.00336        
-0.09970        -0.12217        0.02247        
-0.41701        -0.41816        0.00115        
-0.09999        -0.09529        0.00470        
0.25937         0.26682         0.00744        
0.23262         0.23694         0.00432        
0.39436         0.39304         0.00132        
-0.02421        -0.01238        0.01184        
0.00654         0.00459         0.00195        
-0.04557        -0.05254        0.00697        
0.00654         0.00459         0.00195        
-0.04557        -0.05254        0.00697        
-0.00654        -0.00459        0.00195        
0.04557         0.05254         0.00697        
-0.00654        -0.00459        0.00195        
0.04557         0.05254         0.00697        
-0.02700        -0.02780        0.00080        
-0.02311        -0.02322        0.00011        
0.01670         0.01617         0.00053        
-0.02967        -0.05284        0.02317        
-0.05260        -0.04878        0.00382        
0.07126         0.08383         0.01258        
-0.03596        -0.03156        0.00440        
0.08039         0.08421         0.00382        
-0.04200        -0.04029        0.00171        
0.06516         0.10252         0.03736        
0.06263         0.06749         0.00487        
